volume,ticks,status,open,low,high,cost,close,timestamp,instrument
0.0,1745413200000,ok,0.052,0.052,0.052,0.0,0.052,2025-04-23 13:00:00,BTC-27MAR26-65000-P
0.0,1745416800000,ok,0.052,0.052,0.052,0.0,0.052,2025-04-23 14:00:00,BTC-27MAR26-65000-P
0.1,1745420400000,ok,0.053,0.053,0.053,0.0053,0.053,2025-04-23 15:00:00,BTC-27MAR26-65000-P
0.0,1745424000000,ok,0.053,0.053,0.053,0.0,0.053,2025-04-23 16:00:00,BTC-27MAR26-65000-P
0.0,1745427600000,ok,0.053,0.053,0.053,0.0,0.053,2025-04-23 17:00:00,BTC-27MAR26-65000-P
0.0,1745431200000,ok,0.053,0.053,0.053,0.0,0.053,2025-04-23 18:00:00,BTC-27MAR26-65000-P
0.0,1745434800000,ok,0.053,0.053,0.053,0.0,0.053,2025-04-23 19:00:00,BTC-27MAR26-65000-P
0.0,1745438400000,ok,0.053,0.053,0.053,0.0,0.053,2025-04-23 20:00:00,BTC-27MAR26-65000-P
0.0,1745442000000,ok,0.053,0.053,0.053,0.0,0.053,2025-04-23 21:00:00,BTC-27MAR26-65000-P
0.0,1745445600000,ok,0.053,0.053,0.053,0.0,0.053,2025-04-23 22:00:00,BTC-27MAR26-65000-P
0.0,1745449200000,ok,0.053,0.053,0.053,0.0,0.053,2025-04-23 23:00:00,BTC-27MAR26-65000-P
0.0,1745452800000,ok,0.053,0.053,0.053,0.0,0.053,2025-04-24 00:00:00,BTC-27MAR26-65000-P
0.0,1745456400000,ok,0.053,0.053,0.053,0.0,0.053,2025-04-24 01:00:00,BTC-27MAR26-65000-P
0.0,1745460000000,ok,0.053,0.053,0.053,0.0,0.053,2025-04-24 02:00:00,BTC-27MAR26-65000-P
0.0,1745463600000,ok,0.053,0.053,0.053,0.0,0.053,2025-04-24 03:00:00,BTC-27MAR26-65000-P
0.0,1745467200000,ok,0.053,0.053,0.053,0.0,0.053,2025-04-24 04:00:00,BTC-27MAR26-65000-P
0.0,1745470800000,ok,0.053,0.053,0.053,0.0,0.053,2025-04-24 05:00:00,BTC-27MAR26-65000-P
0.0,1745474400000,ok,0.053,0.053,0.053,0.0,0.053,2025-04-24 06:00:00,BTC-27MAR26-65000-P
0.0,1745478000000,ok,0.053,0.053,0.053,0.0,0.053,2025-04-24 07:00:00,BTC-27MAR26-65000-P
0.0,1745481600000,ok,0.053,0.053,0.053,0.0,0.053,2025-04-24 08:00:00,BTC-27MAR26-65000-P
0.0,1745485200000,ok,0.053,0.053,0.053,0.0,0.053,2025-04-24 09:00:00,BTC-27MAR26-65000-P
0.0,1745488800000,ok,0.053,0.053,0.053,0.0,0.053,2025-04-24 10:00:00,BTC-27MAR26-65000-P
0.0,1745492400000,ok,0.053,0.053,0.053,0.0,0.053,2025-04-24 11:00:00,BTC-27MAR26-65000-P
0.0,1745496000000,ok,0.053,0.053,0.053,0.0,0.053,2025-04-24 12:00:00,BTC-27MAR26-65000-P
0.0,1745499600000,ok,0.053,0.053,0.053,0.0,0.053,2025-04-24 13:00:00,BTC-27MAR26-65000-P
0.0,1745503200000,ok,0.053,0.053,0.053,0.0,0.053,2025-04-24 14:00:00,BTC-27MAR26-65000-P
0.0,1745506800000,ok,0.053,0.053,0.053,0.0,0.053,2025-04-24 15:00:00,BTC-27MAR26-65000-P
0.1,1745510400000,ok,0.0485,0.0485,0.0485,0.00485,0.0485,2025-04-24 16:00:00,BTC-27MAR26-65000-P
0.0,1745514000000,ok,0.0485,0.0485,0.0485,0.0,0.0485,2025-04-24 17:00:00,BTC-27MAR26-65000-P
0.0,1745517600000,ok,0.0485,0.0485,0.0485,0.0,0.0485,2025-04-24 18:00:00,BTC-27MAR26-65000-P
0.0,1745521200000,ok,0.0485,0.0485,0.0485,0.0,0.0485,2025-04-24 19:00:00,BTC-27MAR26-65000-P
0.0,1745524800000,ok,0.0485,0.0485,0.0485,0.0,0.0485,2025-04-24 20:00:00,BTC-27MAR26-65000-P
0.0,1745528400000,ok,0.0485,0.0485,0.0485,0.0,0.0485,2025-04-24 21:00:00,BTC-27MAR26-65000-P
0.0,1745532000000,ok,0.0485,0.0485,0.0485,0.0,0.0485,2025-04-24 22:00:00,BTC-27MAR26-65000-P
0.0,1745535600000,ok,0.0485,0.0485,0.0485,0.0,0.0485,2025-04-24 23:00:00,BTC-27MAR26-65000-P
0.0,1745539200000,ok,0.0485,0.0485,0.0485,0.0,0.0485,2025-04-25 00:00:00,BTC-27MAR26-65000-P
0.0,1745542800000,ok,0.0485,0.0485,0.0485,0.0,0.0485,2025-04-25 01:00:00,BTC-27MAR26-65000-P
0.0,1745546400000,ok,0.0485,0.0485,0.0485,0.0,0.0485,2025-04-25 02:00:00,BTC-27MAR26-65000-P
0.0,1745550000000,ok,0.0485,0.0485,0.0485,0.0,0.0485,2025-04-25 03:00:00,BTC-27MAR26-65000-P
0.0,1745553600000,ok,0.0485,0.0485,0.0485,0.0,0.0485,2025-04-25 04:00:00,BTC-27MAR26-65000-P
0.0,1745557200000,ok,0.0485,0.0485,0.0485,0.0,0.0485,2025-04-25 05:00:00,BTC-27MAR26-65000-P
0.1,1745560800000,ok,0.0465,0.0465,0.0465,0.00465,0.0465,2025-04-25 06:00:00,BTC-27MAR26-65000-P
0.0,1745564400000,ok,0.0465,0.0465,0.0465,0.0,0.0465,2025-04-25 07:00:00,BTC-27MAR26-65000-P
0.0,1745568000000,ok,0.0465,0.0465,0.0465,0.0,0.0465,2025-04-25 08:00:00,BTC-27MAR26-65000-P
0.0,1745571600000,ok,0.0465,0.0465,0.0465,0.0,0.0465,2025-04-25 09:00:00,BTC-27MAR26-65000-P
0.0,1745575200000,ok,0.0465,0.0465,0.0465,0.0,0.0465,2025-04-25 10:00:00,BTC-27MAR26-65000-P
0.0,1745578800000,ok,0.0465,0.0465,0.0465,0.0,0.0465,2025-04-25 11:00:00,BTC-27MAR26-65000-P
0.0,1745582400000,ok,0.0465,0.0465,0.0465,0.0,0.0465,2025-04-25 12:00:00,BTC-27MAR26-65000-P
0.0,1745586000000,ok,0.0465,0.0465,0.0465,0.0,0.0465,2025-04-25 13:00:00,BTC-27MAR26-65000-P
0.0,1745589600000,ok,0.0465,0.0465,0.0465,0.0,0.0465,2025-04-25 14:00:00,BTC-27MAR26-65000-P
